Functions sorted by metric: Exclusive Total CPU Time

Excl.     Incl.     Excl. L1     Excl. L1    Excl. L2   Excl. L2    Excl. L3    Excl. L3     Name
Total     Total     D-cache      D-cache     Cache      Cache       Cache Hit   Cache
CPU sec.  CPU sec.  Hits         Misses      Hits       Misses      w/o Snoop   Misses
58.541    58.541    13576326216  2746460212  465698908  2281257797  1164971397  1116749711   <Total>
56.730    56.740     8649753334  2712847322  436879608  2276757561  1160465418  1116749711   matmult_nmk
 1.761     1.761     4807464273    33612890   28819300     1502010     4505979           0   <static>@0x58a7ad (<libsatlas.so.3.10>)
 0.030     0.030              0           0          0           0           0           0   init_matrix
 0.010     0.010              0           0          0           0           0           0   <static>@0x5c4a2b (<libsatlas.so.3.10>)
 0.010     0.010              0           0          0           0           0           0   __GI_memset
 0.        0.          58915776           0          0     1493972           0           0   <static>@0x5b9204 (<libsatlas.so.3.10>)
 0.        0.          60192833           0          0           0           0           0   <static>@0x5d82d1 (<libsatlas.so.3.10>)
 0.        0.                 0           0          0     1504254           0           0   <static>@0x62dbda (<libsatlas.so.3.10>)
 0.        0.                 0           0          0           0           0           0   ATL_dIBNBmm
 0.        0.010              0           0          0           0           0           0   ATL_dMBJBmm
 0.        1.771              0           0          0           0           0           0   ATL_dgemm
 0.        1.771              0           0          0           0           0           0   ATL_dmmJIK
 0.        1.771              0           0          0           0           0           0   ATL_dmmJIK2
 0.        0.                 0           0          0           0           0           0   ATL_dpKBmm
 0.        0.                 0           0          0           0           0           0   ATL_dpKBmm_b1
 0.        0.                 0           0          0           0           0           0   ATL_dpMBmm_b1
 0.        0.010              0           0          0           0           0           0   ATL_dpNBmm_b1
 0.        0.                 0           0          0           0           0           0   ATL_drow2blkT2_a1
 0.       58.541              0           0          0           0           0           0   __libc_start_main
 0.        1.771              0           0          0           0           0           0   cblas_dgemm
 0.       58.541              0           0          0           0           0           0   main
 0.        1.771              0           0          0           0           0           0   matmult_ref
 0.       56.740              0           0          0           0           0           0   mflops

